symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,2.0,4,15,0.872,0.1556,0.52
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,2.0,6,14,8.213,1.8137,0.71
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,2.0,8,10,18.156,3.1863,0.34
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,1.0,4,20,0.058,0.0113,0.89
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,1.0,6,17,6.673,1.3817,0.69
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,1.0,8,14,3.291,0.636,0.7
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,1.5,4,19,10.893,2.0541,0.48
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,1.5,6,16,30.621,6.9473,0.46
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,1.5,8,14,29.283,6.4976,0.65
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,2.0,4,20,5.452,1.1526,0.7
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,2.0,6,18,14.444,3.9325,0.85
AAVE/USDC:USDC,0,2,25.0,1.2,2.5,2.0,8,13,47.943,9.747,0.47
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,1.0,4,23,-15.127,-3.0598,0.95
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,1.0,6,18,-14.885,-3.0574,0.89
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,1.0,8,16,-25.294,-4.3966,1.06
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,1.5,4,23,18.994,5.2465,0.48
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,1.5,6,17,14.731,3.5174,0.47
AAVE/USDC:USDC,0,2,25.0,1.2,3.0,1.5,8,16,12.434,2.8918,0.73
